entry_date,ticker,sector,lgbm_prob,entry_price,exit_price,exit_date,exit_day,reason,pnl_gross,pnl_net,rule
2018-07-03,054540,조선,0.6125407790585874,3850.0,3880.0,2018-07-11,5,time_exit,0.007792207792207792,0.0036922077922077927,B
2018-07-12,077970,조선,0.6005734663813995,10350.0,9832.5,2018-07-18,3,stop_loss,-0.05,-0.0541,B
2018-07-19,230980,방산,0.6136359788300503,1150.0,1204.0,2018-07-27,5,time_exit,0.04695652173913043,0.04285652173913043,B
2018-08-02,253450,엔터,0.565130966387741,100000.0,95000.0,2018-08-06,1,stop_loss,-0.05,-0.0541,B
2018-08-09,005870,방산,0.6118744528944244,9260.0,8797.0,2018-08-13,1,stop_loss,-0.05,-0.0541,B
2018-08-14,151860,자동차,0.6532341943876842,3830.0,3995.0,2018-08-23,5,time_exit,0.04308093994778068,0.03898093994778068,B
2018-08-24,080580,반도체,0.5624953820602281,1725.0,1700.0,2018-09-03,5,time_exit,-0.014492753623188406,-0.018592753623188407,B
2018-09-06,251270,게임,0.6296484495414704,115000.0,116000.0,2018-09-14,5,time_exit,0.008695652173913044,0.004595652173913044,B
2018-09-17,197140,소프트웨어,0.5615430454760538,5261.0,5067.0,2018-09-28,5,time_exit,-0.03687511879870747,-0.040975118798707466,B
2018-10-01,192080,게임,0.6207555644056116,58092.0,55187.399999999994,2018-10-11,5,stop_loss,-0.0500000000000001,-0.0541000000000001,B
2018-10-12,032820,방산,0.8652910920381205,1345.0,1330.0,2018-10-22,5,time_exit,-0.011152416356877323,-0.015252416356877322,B
2018-10-23,032820,방산,0.8596859977241945,1290.0,1225.5,2018-10-24,0,stop_loss,-0.05,-0.0541,B
2018-10-25,010820,방산,0.9417003396566833,3505.0,3329.75,2018-10-26,0,stop_loss,-0.05,-0.0541,B
