code,date,crd_remn_rt,crd_remn_chg_5d,prm_net_5d_ratio,prm_net_5d_raw
082210,20210104,9.06,0.8724785239127231,,
082210,20210113,8.18,-3.0005833272465865,,
082210,20210121,8.72,13.549920630080138,,
082210,20240119,0.16,-3.6171119954519604,1.5389399825603718e-07,1128.0
082210,20240124,0.12,-24.129847140157402,2.973012289383055e-07,970.0
082210,20240322,0.06,6.100693552530179,7.274059842503585e-07,1894.0
082270,20191030,0.45,4.389714916129672,,
082270,20191031,0.47,4.1970267567939645,,
082270,20191105,0.45,-2.253446140669668,,
082270,20191205,0.46,15.92448582168251,,
082270,20191206,0.47,16.540447171501672,,
082270,20230208,0.77,1.831443590941162,7.279953053463011e-07,2265.0
082270,20230209,0.75,0.5936429769827445,5.490359218546929e-07,2353.0
082270,20240924,0.11,8.102520784243982,1.55573501771422e-07,7533.0
082270,20240925,0.1,0.5359753126522593,4.883503204269543e-07,7649.0
082270,20241016,0.08,-3.600837804493162,9.963513603822994e-08,2129.0
082270,20250211,0.01,-26.412199098494295,3.503483595654406e-07,13682.0
082270,20250217,0.01,-5.255023183925811,2.601881397407489e-07,19759.0
082270,20250218,0.01,-6.255701811546988,3.94704260243464e-07,16538.0
082270,20250219,0.02,24.134825678631167,3.2887628216360026e-07,16538.0
082270,20250224,0.02,61.908646003262646,1.6998020446245176e-07,5665.0
082270,20250225,0.02,73.29347977200055,3.980001525722587e-08,959.0
082270,20250226,0.02,20.768991605347708,2.9122920108007345e-08,959.0
082270,20250523,0.01,-7.7475174515780125,4.6628098272999383e-07,9288.0
082270,20250526,0.01,-18.297119260643,7.013135230910271e-07,9697.0
082270,20250527,0.01,-18.04149051224069,8.163369478268123e-07,13581.0
082270,20250610,0.01,3.5345157585810805,2.195038590391193e-07,2899.0
082270,20250611,0.01,-2.2133526850507956,3.5094917146028545e-07,5677.0
082270,20250612,0.01,-2.6522950224052266,2.4648735777237327e-07,9366.0
082270,20250613,0.01,-2.550637659414856,3.2585407422927136e-07,9204.0
082660,20190819,1.76,0.0,,
082660,20230418,0.01,36.46397752358017,1.0969981601101794e-07,852.0
082660,20230419,0.01,36.02720544108821,1.0189476957400929e-07,1603.0
082660,20230421,0.0,-82.75968228557356,9.217203372146366e-08,1904.0
082800,20191119,0.61,13.141388033759283,,
082800,20191120,0.58,3.9026089737731917,,
082800,20230208,0.0,0.0,1.3615361885724722e-07,1014.0
082800,20230209,0.0,0.0,8.359125417212559e-09,1014.0
082800,20231110,0.0,,0.0,0.0
082800,20240801,0.01,139.00130548302872,4.661547170421529e-08,1060.0
082800,20241025,0.01,0.0,4.895844422066554e-09,59.0
082800,20241028,0.01,0.0,4.822776672249561e-08,821.0
082800,20241031,0.01,0.0,2.3856158255354804e-08,1037.0
082800,20241101,0.01,0.0,1.4683665073953918e-07,1037.0
082800,20241126,0.02,40.84391642769356,1.9399482385028172e-08,1231.0
082800,20241212,0.02,-0.15488867376572957,1.4469338218013674e-07,2798.0
082800,20241213,0.02,-0.15488867376572957,9.781405089150543e-08,2798.0
082850,20200818,0.15,125.78612348822405,,
082850,20200819,0.5,298.84561648620326,,
082850,20200820,1.09,632.1755216812195,,
082850,20200826,0.32,-34.72648535986234,,
